algorithm,size,total_comparisons,sample_count
quick_sort,78,488,1
bubble_sort,79,2990,1
selection_sort,79,3081,1
insertion_sort,79,1620,1
merge_sort,79,392,1
quick_sort,79,431,1
bubble_sort,80,3150,1
selection_sort,80,3160,1
insertion_sort,80,1759,1
merge_sort,80,409,1
quick_sort,80,542,1
bubble_sort,81,3174,1
selection_sort,81,3240,1
insertion_sort,81,1580,1
merge_sort,81,421,1
quick_sort,81,447,1
bubble_sort,82,3185,1
selection_sort,82,3321,1
insertion_sort,82,1764,1
merge_sort,82,418,1
quick_sort,82,460,1
bubble_sort,83,3358,1
selection_sort,83,3403,1
insertion_sort,83,1660,1
merge_sort,83,427,1
quick_sort,83,576,1
bubble_sort,84,3395,1
selection_sort,84,3486,1
insertion_sort,84,1719,1
merge_sort,84,440,1
quick_sort,84,493,1
bubble_sort,85,3555,1
selection_sort,85,3570,1
insertion_sort,85,1831,1
merge_sort,85,443,1
quick_sort,85,567,1
bubble_sort,86,3619,1
selection_sort,86,3655,1
insertion_sort,86,1832,1
merge_sort,86,456,1
quick_sort,86,582,1
bubble_sort,87,3650,1
selection_sort,87,3741,1
insertion_sort,87,1982,1
merge_sort,87,458,1
quick_sort,87,485,1
bubble_sort,88,3827,1
selection_sort,88,3828,1
insertion_sort,88,2317,1
merge_sort,88,470,1
quick_sort,88,587,1
bubble_sort,89,3763,1
selection_sort,89,3916,1
insertion_sort,89,2149,1
merge_sort,89,475,1
quick_sort,89,528,1
bubble_sort,90,4005,1
selection_sort,90,4005,1
insertion_sort,90,1989,1
merge_sort,90,476,1
quick_sort,90,686,1
bubble_sort,91,4040,1
selection_sort,91,4095,1
insertion_sort,91,2135,1
merge_sort,91,485,1
quick_sort,91,566,1
bubble_sort,92,4120,1
selection_sort,92,4186,1
insertion_sort,92,1944,1
merge_sort,92,481,1
quick_sort,92,510,1
bubble_sort,93,4233,1
selection_sort,93,4278,1
insertion_sort,93,2390,1
merge_sort,93,497,1
quick_sort,93,522,1
bubble_sort,94,4218,1
selection_sort,94,4371,1
insertion_sort,94,2125,1
merge_sort,94,499,1
quick_sort,94,648,1
bubble_sort,95,4464,1
selection_sort,95,4465,1
insertion_sort,95,2293,1
merge_sort,95,511,1
quick_sort,95,729,1
bubble_sort,96,4545,1
selection_sort,96,4560,1
insertion_sort,96,2406,1
